SourceProductID,TargetProductID,Relation,Weight,Scenario,Reason
9,28,COMPLEMENTS,0.874,家庭安防,360宝宝看护摄像头 Pro 与 鹿客入户安全门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
9,38,COMPLEMENTS,0.85,家庭安防,Aqara烟雾报警器 Plus 与 鹿客入户安全门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
9,45,COMPLEMENTS,0.937,家庭安防,绿米烟雾报警器 Max 与 鹿客入户安全门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
9,293,REQUIRES_HUB,0.822,全屋智能,米家多模网关 Plus 可以作为 鹿客入户安全门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
9,294,REQUIRES_HUB,0.714,全屋智能,米家Matter 网关 Pro 可以作为 鹿客入户安全门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
10,24,COMPLEMENTS,0.851,家庭安防,华为智选门口猫眼摄像头 Plus 与 德施曼入户安全门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
10,28,COMPLEMENTS,0.689,家庭安防,360宝宝看护摄像头 Pro 与 德施曼入户安全门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
10,38,COMPLEMENTS,0.77,家庭安防,Aqara烟雾报警器 Plus 与 德施曼入户安全门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
10,45,COMPLEMENTS,0.706,家庭安防,绿米烟雾报警器 Max 与 德施曼入户安全门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
10,293,REQUIRES_HUB,0.767,全屋智能,米家多模网关 Plus 可以作为 德施曼入户安全门锁 Pro 的连接中枢，提升全屋智能联动稳定性。
10,294,REQUIRES_HUB,0.722,全屋智能,米家Matter 网关 Pro 可以作为 德施曼入户安全门锁 Pro 的连接中枢，提升全屋智能联动稳定性。
11,24,COMPLEMENTS,0.788,家庭安防,华为智选门口猫眼摄像头 Plus 与 德施曼人脸识别门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
11,28,COMPLEMENTS,0.694,家庭安防,360宝宝看护摄像头 Pro 与 德施曼人脸识别门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
11,38,COMPLEMENTS,0.717,家庭安防,Aqara烟雾报警器 Plus 与 德施曼人脸识别门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
11,45,COMPLEMENTS,0.898,家庭安防,绿米烟雾报警器 Max 与 德施曼人脸识别门锁 Pro 在家庭安防场景中互补，适合作为搭配推荐。
11,293,REQUIRES_HUB,0.692,全屋智能,米家多模网关 Plus 可以作为 德施曼人脸识别门锁 Pro 的连接中枢，提升全屋智能联动稳定性。
11,294,REQUIRES_HUB,0.918,全屋智能,米家Matter 网关 Pro 可以作为 德施曼人脸识别门锁 Pro 的连接中枢，提升全屋智能联动稳定性。
12,24,COMPLEMENTS,0.84,家庭安防,华为智选门口猫眼摄像头 Plus 与 德施曼掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
12,28,COMPLEMENTS,0.691,家庭安防,360宝宝看护摄像头 Pro 与 德施曼掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
12,38,COMPLEMENTS,0.855,家庭安防,Aqara烟雾报警器 Plus 与 德施曼掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
12,45,COMPLEMENTS,0.773,家庭安防,绿米烟雾报警器 Max 与 德施曼掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
12,293,REQUIRES_HUB,0.824,全屋智能,米家多模网关 Plus 可以作为 德施曼掌静脉门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
12,294,REQUIRES_HUB,0.714,全屋智能,米家Matter 网关 Pro 可以作为 德施曼掌静脉门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
13,24,COMPLEMENTS,0.917,家庭安防,华为智选门口猫眼摄像头 Plus 与 凯迪仕指纹门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
13,28,COMPLEMENTS,0.824,家庭安防,360宝宝看护摄像头 Pro 与 凯迪仕指纹门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
13,38,COMPLEMENTS,0.774,家庭安防,Aqara烟雾报警器 Plus 与 凯迪仕指纹门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
13,45,COMPLEMENTS,0.784,家庭安防,绿米烟雾报警器 Max 与 凯迪仕指纹门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
13,293,REQUIRES_HUB,0.787,全屋智能,米家多模网关 Plus 可以作为 凯迪仕指纹门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
13,294,REQUIRES_HUB,0.789,全屋智能,米家Matter 网关 Pro 可以作为 凯迪仕指纹门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
14,24,COMPLEMENTS,0.79,家庭安防,华为智选门口猫眼摄像头 Plus 与 凯迪仕租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
14,28,COMPLEMENTS,0.827,家庭安防,360宝宝看护摄像头 Pro 与 凯迪仕租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
14,38,COMPLEMENTS,0.681,家庭安防,Aqara烟雾报警器 Plus 与 凯迪仕租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
14,45,COMPLEMENTS,0.764,家庭安防,绿米烟雾报警器 Max 与 凯迪仕租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
14,293,REQUIRES_HUB,0.705,全屋智能,米家多模网关 Plus 可以作为 凯迪仕租房智能门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
14,294,REQUIRES_HUB,0.77,全屋智能,米家Matter 网关 Pro 可以作为 凯迪仕租房智能门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
15,24,COMPLEMENTS,0.859,家庭安防,华为智选门口猫眼摄像头 Plus 与 凯迪仕人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
15,28,COMPLEMENTS,0.716,家庭安防,360宝宝看护摄像头 Pro 与 凯迪仕人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
15,38,COMPLEMENTS,0.743,家庭安防,Aqara烟雾报警器 Plus 与 凯迪仕人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
15,45,COMPLEMENTS,0.937,家庭安防,绿米烟雾报警器 Max 与 凯迪仕人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
15,293,REQUIRES_HUB,0.839,全屋智能,米家多模网关 Plus 可以作为 凯迪仕人脸识别门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
15,294,REQUIRES_HUB,0.839,全屋智能,米家Matter 网关 Pro 可以作为 凯迪仕人脸识别门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
16,24,COMPLEMENTS,0.841,家庭安防,华为智选门口猫眼摄像头 Plus 与 Aqara人脸识别门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
16,28,COMPLEMENTS,0.696,家庭安防,360宝宝看护摄像头 Pro 与 Aqara人脸识别门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
16,38,COMPLEMENTS,0.917,家庭安防,Aqara烟雾报警器 Plus 与 Aqara人脸识别门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
16,45,COMPLEMENTS,0.683,家庭安防,绿米烟雾报警器 Max 与 Aqara人脸识别门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
16,293,REQUIRES_HUB,0.83,全屋智能,米家多模网关 Plus 可以作为 Aqara人脸识别门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
16,294,REQUIRES_HUB,0.73,全屋智能,米家Matter 网关 Pro 可以作为 Aqara人脸识别门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
17,24,COMPLEMENTS,0.924,家庭安防,华为智选门口猫眼摄像头 Plus 与 Aqara电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
17,28,COMPLEMENTS,0.862,家庭安防,360宝宝看护摄像头 Pro 与 Aqara电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
17,38,COMPLEMENTS,0.866,家庭安防,Aqara烟雾报警器 Plus 与 Aqara电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
17,45,COMPLEMENTS,0.801,家庭安防,绿米烟雾报警器 Max 与 Aqara电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
17,293,REQUIRES_HUB,0.86,全屋智能,米家多模网关 Plus 可以作为 Aqara电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
17,294,REQUIRES_HUB,0.707,全屋智能,米家Matter 网关 Pro 可以作为 Aqara电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
18,24,COMPLEMENTS,0.709,家庭安防,华为智选门口猫眼摄像头 Plus 与 Aqara入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
18,28,COMPLEMENTS,0.785,家庭安防,360宝宝看护摄像头 Pro 与 Aqara入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
18,38,COMPLEMENTS,0.804,家庭安防,Aqara烟雾报警器 Plus 与 Aqara入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
18,45,COMPLEMENTS,0.707,家庭安防,绿米烟雾报警器 Max 与 Aqara入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
18,293,REQUIRES_HUB,0.786,全屋智能,米家多模网关 Plus 可以作为 Aqara入户安全门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
18,294,REQUIRES_HUB,0.902,全屋智能,米家Matter 网关 Pro 可以作为 Aqara入户安全门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
19,2,COMPLEMENTS,0.841,家庭安防,小米人脸识别门锁 Plus 与 小米门口猫眼摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
19,7,COMPLEMENTS,0.911,家庭安防,鹿客掌静脉门锁 Lite 与 小米门口猫眼摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
19,38,COMPLEMENTS,0.822,老人看护,Aqara烟雾报警器 Plus 与 小米门口猫眼摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
19,45,COMPLEMENTS,0.756,老人看护,绿米烟雾报警器 Max 与 小米门口猫眼摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
20,2,COMPLEMENTS,0.853,家庭安防,小米人脸识别门锁 Plus 与 小米宝宝看护摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
20,7,COMPLEMENTS,0.899,家庭安防,鹿客掌静脉门锁 Lite 与 小米宝宝看护摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
20,38,COMPLEMENTS,0.877,老人看护,Aqara烟雾报警器 Plus 与 小米宝宝看护摄像头 Lite 在老人看护场景中互补，适合作为搭配推荐。
20,45,COMPLEMENTS,0.782,老人看护,绿米烟雾报警器 Max 与 小米宝宝看护摄像头 Lite 在老人看护场景中互补，适合作为搭配推荐。
21,2,COMPLEMENTS,0.715,家庭安防,小米人脸识别门锁 Plus 与 小米云台摄像机 Lite 在家庭安防场景中互补，适合作为搭配推荐。
21,7,COMPLEMENTS,0.814,家庭安防,鹿客掌静脉门锁 Lite 与 小米云台摄像机 Lite 在家庭安防场景中互补，适合作为搭配推荐。
21,38,COMPLEMENTS,0.756,老人看护,Aqara烟雾报警器 Plus 与 小米云台摄像机 Lite 在老人看护场景中互补，适合作为搭配推荐。
21,45,COMPLEMENTS,0.884,老人看护,绿米烟雾报警器 Max 与 小米云台摄像机 Lite 在老人看护场景中互补，适合作为搭配推荐。
22,2,COMPLEMENTS,0.725,家庭安防,小米人脸识别门锁 Plus 与 华为智选户外防水摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
22,7,COMPLEMENTS,0.9,家庭安防,鹿客掌静脉门锁 Lite 与 华为智选户外防水摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
22,38,COMPLEMENTS,0.754,老人看护,Aqara烟雾报警器 Plus 与 华为智选户外防水摄像头 Lite 在老人看护场景中互补，适合作为搭配推荐。
22,45,COMPLEMENTS,0.905,老人看护,绿米烟雾报警器 Max 与 华为智选户外防水摄像头 Lite 在老人看护场景中互补，适合作为搭配推荐。
23,2,COMPLEMENTS,0.788,家庭安防,小米人脸识别门锁 Plus 与 华为智选云台摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
23,7,COMPLEMENTS,0.91,家庭安防,鹿客掌静脉门锁 Lite 与 华为智选云台摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
23,38,COMPLEMENTS,0.906,老人看护,Aqara烟雾报警器 Plus 与 华为智选云台摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
23,45,COMPLEMENTS,0.856,老人看护,绿米烟雾报警器 Max 与 华为智选云台摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
24,2,COMPLEMENTS,0.885,家庭安防,小米人脸识别门锁 Plus 与 华为智选门口猫眼摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
24,7,COMPLEMENTS,0.884,家庭安防,鹿客掌静脉门锁 Lite 与 华为智选门口猫眼摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
24,38,COMPLEMENTS,0.832,老人看护,Aqara烟雾报警器 Plus 与 华为智选门口猫眼摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
24,45,COMPLEMENTS,0.825,老人看护,绿米烟雾报警器 Max 与 华为智选门口猫眼摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
25,2,COMPLEMENTS,0.914,家庭安防,小米人脸识别门锁 Plus 与 萤石双摄追踪摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
25,7,COMPLEMENTS,0.853,家庭安防,鹿客掌静脉门锁 Lite 与 萤石双摄追踪摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
25,38,COMPLEMENTS,0.918,老人看护,Aqara烟雾报警器 Plus 与 萤石双摄追踪摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
25,45,COMPLEMENTS,0.692,老人看护,绿米烟雾报警器 Max 与 萤石双摄追踪摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
26,2,COMPLEMENTS,0.857,家庭安防,小米人脸识别门锁 Plus 与 萤石云台摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
26,7,COMPLEMENTS,0.928,家庭安防,鹿客掌静脉门锁 Lite 与 萤石云台摄像机 Plus 在家庭安防场景中互补，适合作为搭配推荐。
26,38,COMPLEMENTS,0.861,老人看护,Aqara烟雾报警器 Plus 与 萤石云台摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
26,45,COMPLEMENTS,0.702,老人看护,绿米烟雾报警器 Max 与 萤石云台摄像机 Plus 在老人看护场景中互补，适合作为搭配推荐。
27,2,COMPLEMENTS,0.686,家庭安防,小米人脸识别门锁 Plus 与 萤石宝宝看护摄像头 Max 在家庭安防场景中互补，适合作为搭配推荐。
27,7,COMPLEMENTS,0.715,家庭安防,鹿客掌静脉门锁 Lite 与 萤石宝宝看护摄像头 Max 在家庭安防场景中互补，适合作为搭配推荐。
27,38,COMPLEMENTS,0.776,老人看护,Aqara烟雾报警器 Plus 与 萤石宝宝看护摄像头 Max 在老人看护场景中互补，适合作为搭配推荐。
27,45,COMPLEMENTS,0.863,老人看护,绿米烟雾报警器 Max 与 萤石宝宝看护摄像头 Max 在老人看护场景中互补，适合作为搭配推荐。
28,2,COMPLEMENTS,0.735,家庭安防,小米人脸识别门锁 Plus 与 360宝宝看护摄像头 Pro 在家庭安防场景中互补，适合作为搭配推荐。
28,7,COMPLEMENTS,0.715,家庭安防,鹿客掌静脉门锁 Lite 与 360宝宝看护摄像头 Pro 在家庭安防场景中互补，适合作为搭配推荐。
28,38,COMPLEMENTS,0.819,老人看护,Aqara烟雾报警器 Plus 与 360宝宝看护摄像头 Pro 在老人看护场景中互补，适合作为搭配推荐。
28,45,COMPLEMENTS,0.936,老人看护,绿米烟雾报警器 Max 与 360宝宝看护摄像头 Pro 在老人看护场景中互补，适合作为搭配推荐。
29,2,COMPLEMENTS,0.899,家庭安防,小米人脸识别门锁 Plus 与 360户外防水摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
29,7,COMPLEMENTS,0.812,家庭安防,鹿客掌静脉门锁 Lite 与 360户外防水摄像头 Plus 在家庭安防场景中互补，适合作为搭配推荐。
29,38,COMPLEMENTS,0.891,老人看护,Aqara烟雾报警器 Plus 与 360户外防水摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
29,45,COMPLEMENTS,0.843,老人看护,绿米烟雾报警器 Max 与 360户外防水摄像头 Plus 在老人看护场景中互补，适合作为搭配推荐。
30,2,COMPLEMENTS,0.68,家庭安防,小米人脸识别门锁 Plus 与 360双摄追踪摄像机 Max 在家庭安防场景中互补，适合作为搭配推荐。
30,7,COMPLEMENTS,0.882,家庭安防,鹿客掌静脉门锁 Lite 与 360双摄追踪摄像机 Max 在家庭安防场景中互补，适合作为搭配推荐。
30,38,COMPLEMENTS,0.762,老人看护,Aqara烟雾报警器 Plus 与 360双摄追踪摄像机 Max 在老人看护场景中互补，适合作为搭配推荐。
30,45,COMPLEMENTS,0.697,老人看护,绿米烟雾报警器 Max 与 360双摄追踪摄像机 Max 在老人看护场景中互补，适合作为搭配推荐。
31,2,COMPLEMENTS,0.913,家庭安防,小米人脸识别门锁 Plus 与 TP-LINK双摄追踪摄像机 Pro 在家庭安防场景中互补，适合作为搭配推荐。
31,7,COMPLEMENTS,0.934,家庭安防,鹿客掌静脉门锁 Lite 与 TP-LINK双摄追踪摄像机 Pro 在家庭安防场景中互补，适合作为搭配推荐。
31,38,COMPLEMENTS,0.813,老人看护,Aqara烟雾报警器 Plus 与 TP-LINK双摄追踪摄像机 Pro 在老人看护场景中互补，适合作为搭配推荐。
31,45,COMPLEMENTS,0.776,老人看护,绿米烟雾报警器 Max 与 TP-LINK双摄追踪摄像机 Pro 在老人看护场景中互补，适合作为搭配推荐。
32,2,COMPLEMENTS,0.696,家庭安防,小米人脸识别门锁 Plus 与 TP-LINK云台摄像机 Lite 在家庭安防场景中互补，适合作为搭配推荐。
32,7,COMPLEMENTS,0.758,家庭安防,鹿客掌静脉门锁 Lite 与 TP-LINK云台摄像机 Lite 在家庭安防场景中互补，适合作为搭配推荐。
32,38,COMPLEMENTS,0.683,老人看护,Aqara烟雾报警器 Plus 与 TP-LINK云台摄像机 Lite 在老人看护场景中互补，适合作为搭配推荐。
32,45,COMPLEMENTS,0.931,老人看护,绿米烟雾报警器 Max 与 TP-LINK云台摄像机 Lite 在老人看护场景中互补，适合作为搭配推荐。
33,2,COMPLEMENTS,0.686,家庭安防,小米人脸识别门锁 Plus 与 TP-LINK2K 看家摄像头 Pro 在家庭安防场景中互补，适合作为搭配推荐。
33,7,COMPLEMENTS,0.741,家庭安防,鹿客掌静脉门锁 Lite 与 TP-LINK2K 看家摄像头 Pro 在家庭安防场景中互补，适合作为搭配推荐。
33,38,COMPLEMENTS,0.876,老人看护,Aqara烟雾报警器 Plus 与 TP-LINK2K 看家摄像头 Pro 在老人看护场景中互补，适合作为搭配推荐。
33,45,COMPLEMENTS,0.738,老人看护,绿米烟雾报警器 Max 与 TP-LINK2K 看家摄像头 Pro 在老人看护场景中互补，适合作为搭配推荐。
34,2,COMPLEMENTS,0.724,家庭安防,小米人脸识别门锁 Plus 与 乐橙门口猫眼摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
34,7,COMPLEMENTS,0.771,家庭安防,鹿客掌静脉门锁 Lite 与 乐橙门口猫眼摄像头 Lite 在家庭安防场景中互补，适合作为搭配推荐。
