ProductID,ProductName,CategoryName,SupplierName,QuantityPerUnit,UnitPrice,UnitsInStock,Brand,Description,Features,UseCases,TargetUsers,Tags,Rating,ReviewCount,SalesVolume,BusinessWeight,InstallDifficulty,AfterSalesPolicy,Compatibility
18,Aqara入户安全门锁 Lite,智能门锁,Aqara授权专卖店,1 台,1099,144,Aqara,"Aqara入户安全门锁 Lite 面向家庭用户,有老人家庭，适合老人看护,出租屋,家庭安防场景，可作为智能门锁类目的主推商品。",防撬报警；远程开门记录；临时密码；指纹解锁,老人看护；出租屋；家庭安防,家庭用户；有老人家庭,Lite；临时密码；出租屋；家庭安防；家庭用户；指纹解锁；智能门锁；有老人家庭；老人看护；远程开门记录；防撬报警,4.9,1178,27892,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,米家；华为鸿蒙智联
19,小米门口猫眼摄像头 Plus,智能摄像头,小米智能生活专营店,1 台,499,27,小米,"小米门口猫眼摄像头 Plus 面向养宠家庭,有老人家庭，适合宠物看护,老人看护,门口监控场景，可作为智能摄像头类目的主推商品。",移动追踪；夜视增强；异常声音提醒；云台巡航,宠物看护；老人看护；门口监控,养宠家庭；有老人家庭,Plus；云台巡航；养宠家庭；夜视增强；宠物看护；异常声音提醒；智能摄像头；有老人家庭；移动追踪；老人看护；门口监控,4.2,2022,5193,0.957,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；华为鸿蒙智联
20,小米宝宝看护摄像头 Lite,智能摄像头,小米生态链旗舰店,1 台,159,98,小米,"小米宝宝看护摄像头 Lite 面向上班族,新手爸妈，适合家庭安防,宠物看护,老人看护场景，可作为智能摄像头类目的主推商品。",云台巡航；双向语音；异常声音提醒；本地存储,家庭安防；宠物看护；老人看护,上班族；新手爸妈,Lite；上班族；云台巡航；双向语音；宠物看护；家庭安防；异常声音提醒；新手爸妈；智能摄像头；本地存储；老人看护,4.6,2387,32068,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；华为鸿蒙智联
21,小米云台摄像机 Lite,智能摄像头,小米授权专卖店,1 台,229,37,小米,"小米云台摄像机 Lite 面向有老人家庭,养宠家庭，适合门口监控,家庭安防,老人看护场景，可作为智能摄像头类目的主推商品。",双向语音；夜视增强；云台巡航；本地存储,门口监控；家庭安防；老人看护,有老人家庭；养宠家庭,Lite；云台巡航；养宠家庭；双向语音；夜视增强；家庭安防；智能摄像头；有老人家庭；本地存储；老人看护；门口监控,4.2,2517,188,0.873,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,华为鸿蒙智联；Apple HomeKit；天猫精灵；涂鸦智能
22,华为智选户外防水摄像头 Lite,智能摄像头,华为智选生态链旗舰店,1 台,289,225,华为智选,"华为智选户外防水摄像头 Lite 面向有老人家庭,上班族，适合宠物看护,门口监控,老人看护场景，可作为智能摄像头类目的主推商品。",本地存储；移动追踪；异常声音提醒；夜视增强,宠物看护；门口监控；老人看护,有老人家庭；上班族,Lite；上班族；夜视增强；宠物看护；异常声音提醒；智能摄像头；有老人家庭；本地存储；移动追踪；老人看护；门口监控,4.7,2097,11908,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,涂鸦智能；天猫精灵；小度；Aqara Home
23,华为智选云台摄像机 Plus,智能摄像头,华为智选授权专卖店,1 台,399,103,华为智选,"华为智选云台摄像机 Plus 面向上班族,养宠家庭，适合门口监控,老人看护,家庭安防场景，可作为智能摄像头类目的主推商品。",移动追踪；夜视增强；云台巡航；异常声音提醒,门口监控；老人看护；家庭安防,上班族；养宠家庭,Plus；上班族；云台巡航；养宠家庭；夜视增强；家庭安防；异常声音提醒；智能摄像头；移动追踪；老人看护；门口监控,4.5,1884,18703,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Apple HomeKit；米家；小度
24,华为智选门口猫眼摄像头 Plus,智能摄像头,华为智选授权专卖店,1 台,449,94,华为智选,"华为智选门口猫眼摄像头 Plus 面向上班族,有老人家庭，适合宠物看护,老人看护,门口监控场景，可作为智能摄像头类目的主推商品。",夜视增强；移动追踪；双向语音；异常声音提醒,宠物看护；老人看护；门口监控,上班族；有老人家庭,Plus；上班族；双向语音；夜视增强；宠物看护；异常声音提醒；智能摄像头；有老人家庭；移动追踪；老人看护；门口监控,4.8,4766,30174,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Matter；Apple HomeKit；华为鸿蒙智联；米家
25,萤石双摄追踪摄像机 Plus,智能摄像头,萤石授权专卖店,1 台,499,122,萤石,"萤石双摄追踪摄像机 Plus 面向有老人家庭,养宠家庭，适合宠物看护,老人看护,门口监控场景，可作为智能摄像头类目的主推商品。",夜视增强；异常声音提醒；移动追踪；本地存储,宠物看护；老人看护；门口监控,有老人家庭；养宠家庭,Plus；养宠家庭；夜视增强；宠物看护；异常声音提醒；智能摄像头；有老人家庭；本地存储；移动追踪；老人看护；门口监控,4.4,3867,26940,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；小度；Matter；米家
26,萤石云台摄像机 Plus,智能摄像头,萤石生态链旗舰店,1 台,399,188,萤石,"萤石云台摄像机 Plus 面向养宠家庭,上班族，适合家庭安防,宠物看护,老人看护场景，可作为智能摄像头类目的主推商品。",异常声音提醒；夜视增强；移动追踪；本地存储,家庭安防；宠物看护；老人看护,养宠家庭；上班族,Plus；上班族；养宠家庭；夜视增强；宠物看护；家庭安防；异常声音提醒；智能摄像头；本地存储；移动追踪；老人看护,4.7,2804,22150,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；Apple HomeKit；天猫精灵；涂鸦智能
27,萤石宝宝看护摄像头 Max,智能摄像头,萤石授权专卖店,1 台,699,188,萤石,"萤石宝宝看护摄像头 Max 面向上班族,养宠家庭，适合家庭安防,门口监控,宠物看护场景，可作为智能摄像头类目的主推商品。",异常声音提醒；双向语音；移动追踪；夜视增强,家庭安防；门口监控；宠物看护,上班族；养宠家庭,Max；上班族；养宠家庭；双向语音；夜视增强；宠物看护；家庭安防；异常声音提醒；智能摄像头；移动追踪；门口监控,4.5,994,25179,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,涂鸦智能；Apple HomeKit
28,360宝宝看护摄像头 Pro,智能摄像头,360智能生活专营店,1 台,549,49,360,"360宝宝看护摄像头 Pro 面向上班族,有老人家庭，适合宠物看护,门口监控,老人看护场景，可作为智能摄像头类目的主推商品。",移动追踪；本地存储；云台巡航；夜视增强,宠物看护；门口监控；老人看护,上班族；有老人家庭,Pro；上班族；云台巡航；夜视增强；宠物看护；智能摄像头；有老人家庭；本地存储；移动追踪；老人看护；门口监控,4.8,3536,35029,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；Matter；天猫精灵
29,360户外防水摄像头 Plus,智能摄像头,360授权专卖店,1 台,399,27,360,"360户外防水摄像头 Plus 面向上班族,有老人家庭，适合宠物看护,家庭安防,门口监控场景，可作为智能摄像头类目的主推商品。",异常声音提醒；移动追踪；本地存储；双向语音,宠物看护；家庭安防；门口监控,上班族；有老人家庭,Plus；上班族；双向语音；宠物看护；家庭安防；异常声音提醒；智能摄像头；有老人家庭；本地存储；移动追踪；门口监控,4.8,4321,14960,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,米家；涂鸦智能；Apple HomeKit
30,360双摄追踪摄像机 Max,智能摄像头,360智能生活专营店,1 台,799,255,360,"360双摄追踪摄像机 Max 面向养宠家庭,新手爸妈，适合老人看护,宠物看护,门口监控场景，可作为智能摄像头类目的主推商品。",异常声音提醒；夜视增强；双向语音；移动追踪,老人看护；宠物看护；门口监控,养宠家庭；新手爸妈,Max；养宠家庭；双向语音；夜视增强；宠物看护；异常声音提醒；新手爸妈；智能摄像头；移动追踪；老人看护；门口监控,4.4,1926,3676,0.951,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,华为鸿蒙智联；Apple HomeKit；Aqara Home
31,TP-LINK双摄追踪摄像机 Pro,智能摄像头,TP-LINK官方旗舰店,1 台,649,155,TP-LINK,"TP-LINK双摄追踪摄像机 Pro 面向有老人家庭,养宠家庭，适合门口监控,宠物看护,家庭安防场景，可作为智能摄像头类目的主推商品。",夜视增强；异常声音提醒；双向语音；本地存储,门口监控；宠物看护；家庭安防,有老人家庭；养宠家庭,Pro；养宠家庭；双向语音；夜视增强；宠物看护；家庭安防；异常声音提醒；智能摄像头；有老人家庭；本地存储；门口监控,4.8,3369,2016,0.964,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Aqara Home；华为鸿蒙智联；Apple HomeKit；涂鸦智能
32,TP-LINK云台摄像机 Lite,智能摄像头,TP-LINK智能生活专营店,1 台,179,90,TP-LINK,"TP-LINK云台摄像机 Lite 面向新手爸妈,上班族，适合老人看护,门口监控,家庭安防场景，可作为智能摄像头类目的主推商品。",云台巡航；本地存储；异常声音提醒；移动追踪,老人看护；门口监控；家庭安防,新手爸妈；上班族,Lite；上班族；云台巡航；家庭安防；异常声音提醒；新手爸妈；智能摄像头；本地存储；移动追踪；老人看护；门口监控,4.3,2641,24668,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Matter；华为鸿蒙智联；Aqara Home
33,TP-LINK2K 看家摄像头 Pro,智能摄像头,TP-LINK授权专卖店,1 台,549,91,TP-LINK,"TP-LINK2K 看家摄像头 Pro 面向新手爸妈,有老人家庭，适合门口监控,家庭安防,宠物看护场景，可作为智能摄像头类目的主推商品。",双向语音；本地存储；夜视增强；云台巡航,门口监控；家庭安防；宠物看护,新手爸妈；有老人家庭,Pro；云台巡航；双向语音；夜视增强；宠物看护；家庭安防；新手爸妈；智能摄像头；有老人家庭；本地存储；门口监控,4.5,817,10196,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Apple HomeKit；华为鸿蒙智联；天猫精灵；Matter
34,乐橙门口猫眼摄像头 Lite,智能摄像头,乐橙官方旗舰店,1 台,189,20,乐橙,"乐橙门口猫眼摄像头 Lite 面向养宠家庭,有老人家庭，适合宠物看护,老人看护,门口监控场景，可作为智能摄像头类目的主推商品。",移动追踪；本地存储；异常声音提醒；双向语音,宠物看护；老人看护；门口监控,养宠家庭；有老人家庭,Lite；养宠家庭；双向语音；宠物看护；异常声音提醒；智能摄像头；有老人家庭；本地存储；移动追踪；老人看护；门口监控,4.5,272,5200,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,小度；涂鸦智能
35,乐橙云台摄像机 Plus,智能摄像头,乐橙授权专卖店,1 台,399,189,乐橙,"乐橙云台摄像机 Plus 面向上班族,有老人家庭，适合宠物看护,家庭安防,门口监控场景，可作为智能摄像头类目的主推商品。",双向语音；夜视增强；云台巡航；移动追踪,宠物看护；家庭安防；门口监控,上班族；有老人家庭,Plus；上班族；云台巡航；双向语音；夜视增强；宠物看护；家庭安防；智能摄像头；有老人家庭；移动追踪；门口监控,4.5,2653,16296,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,米家；小度；Aqara Home
36,乐橙双摄追踪摄像机 Plus,智能摄像头,乐橙生态链旗舰店,1 台,349,230,乐橙,"乐橙双摄追踪摄像机 Plus 面向新手爸妈,养宠家庭，适合宠物看护,老人看护,家庭安防场景，可作为智能摄像头类目的主推商品。",移动追踪；云台巡航；本地存储；异常声音提醒,宠物看护；老人看护；家庭安防,新手爸妈；养宠家庭,Plus；云台巡航；养宠家庭；宠物看护；家庭安防；异常声音提醒；新手爸妈；智能摄像头；本地存储；移动追踪；老人看护,4.5,3720,31243,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,天猫精灵；涂鸦智能；Apple HomeKit；Aqara Home
37,Aqara门窗传感器 Plus,智能传感器,Aqara生态链旗舰店,1 个,179,81,Aqara,"Aqara门窗传感器 Plus 面向厨房用户,有老人家庭，适合老人看护,厨房安全,全屋智能场景，可作为智能传感器类目的主推商品。",App 推送；异常告警；免布线安装；低功耗,老人看护；厨房安全；全屋智能,厨房用户；有老人家庭,App 推送；Plus；低功耗；免布线安装；全屋智能；厨房安全；厨房用户；异常告警；智能传感器；有老人家庭；老人看护,4.6,2330,8628,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,小度；米家；天猫精灵；Aqara Home
38,Aqara烟雾报警器 Plus,智能传感器,Aqara生态链旗舰店,1 个,139,255,Aqara,"Aqara烟雾报警器 Plus 面向智能家居入门用户,有老人家庭，适合家庭安防,厨房安全,老人看护场景，可作为智能传感器类目的主推商品。",App 推送；低功耗；异常告警；场景自动化,家庭安防；厨房安全；老人看护,智能家居入门用户；有老人家庭,App 推送；Plus；低功耗；厨房安全；场景自动化；家庭安防；异常告警；智能传感器；智能家居入门用户；有老人家庭；老人看护,4.8,240,32201,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,涂鸦智能；Aqara Home；米家；华为鸿蒙智联
39,Aqara水浸传感器 Lite,智能传感器,Aqara授权专卖店,1 个,79,130,Aqara,"Aqara水浸传感器 Lite 面向智能家居入门用户,厨房用户，适合家庭安防,老人看护,全屋智能场景，可作为智能传感器类目的主推商品。",免布线安装；异常告警；场景自动化；联动提醒,家庭安防；老人看护；全屋智能,智能家居入门用户；厨房用户,Lite；免布线安装；全屋智能；厨房用户；场景自动化；家庭安防；异常告警；智能传感器；智能家居入门用户；老人看护；联动提醒,4.3,4142,28037,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,Apple HomeKit；Aqara Home；涂鸦智能
40,米家水浸传感器 Max,智能传感器,米家授权专卖店,1 个,279,221,米家,"米家水浸传感器 Max 面向厨房用户,新房装修，适合老人看护,家庭安防,全屋智能场景，可作为智能传感器类目的主推商品。",低功耗；免布线安装；App 推送；场景自动化,老人看护；家庭安防；全屋智能,厨房用户；新房装修,App 推送；Max；低功耗；免布线安装；全屋智能；厨房用户；场景自动化；家庭安防；新房装修；智能传感器；老人看护,4.5,2337,377,0.906,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,天猫精灵；华为鸿蒙智联；Apple HomeKit
41,米家烟雾报警器 Pro,智能传感器,米家智能生活专营店,1 个,219,168,米家,"米家烟雾报警器 Pro 面向智能家居入门用户,有老人家庭，适合家庭安防,全屋智能,老人看护场景，可作为智能传感器类目的主推商品。",低功耗；App 推送；异常告警；免布线安装,家庭安防；全屋智能；老人看护,智能家居入门用户；有老人家庭,App 推送；Pro；低功耗；免布线安装；全屋智能；家庭安防；异常告警；智能传感器；智能家居入门用户；有老人家庭；老人看护,4.3,218,35972,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,天猫精灵；涂鸦智能
42,米家人体传感器 Pro,智能传感器,米家智能生活专营店,1 个,239,45,米家,"米家人体传感器 Pro 面向智能家居入门用户,厨房用户，适合家庭安防,全屋智能,老人看护场景，可作为智能传感器类目的主推商品。",免布线安装；场景自动化；联动提醒；低功耗,家庭安防；全屋智能；老人看护,智能家居入门用户；厨房用户,Pro；低功耗；免布线安装；全屋智能；厨房用户；场景自动化；家庭安防；智能传感器；智能家居入门用户；老人看护；联动提醒,4.7,802,1352,0.943,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,米家；天猫精灵；华为鸿蒙智联；涂鸦智能
43,绿米人体传感器 Plus,智能传感器,绿米生态链旗舰店,1 个,169,27,绿米,"绿米人体传感器 Plus 面向智能家居入门用户,新房装修，适合全屋智能,老人看护,厨房安全场景，可作为智能传感器类目的主推商品。",联动提醒；场景自动化；免布线安装；异常告警,全屋智能；老人看护；厨房安全,智能家居入门用户；新房装修,Plus；免布线安装；全屋智能；厨房安全；场景自动化；异常告警；新房装修；智能传感器；智能家居入门用户；老人看护；联动提醒,4.7,4605,15005,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,天猫精灵；Aqara Home
44,绿米燃气报警器 Max,智能传感器,绿米官方旗舰店,1 个,259,260,绿米,"绿米燃气报警器 Max 面向厨房用户,新房装修，适合老人看护,家庭安防,全屋智能场景，可作为智能传感器类目的主推商品。",异常告警；App 推送；低功耗；联动提醒,老人看护；家庭安防；全屋智能,厨房用户；新房装修,App 推送；Max；低功耗；全屋智能；厨房用户；家庭安防；异常告警；新房装修；智能传感器；老人看护；联动提醒,4.4,2357,14899,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,华为鸿蒙智联；天猫精灵；Matter
45,绿米烟雾报警器 Max,智能传感器,绿米官方旗舰店,1 个,259,123,绿米,"绿米烟雾报警器 Max 面向新房装修,厨房用户，适合家庭安防,老人看护,厨房安全场景，可作为智能传感器类目的主推商品。",App 推送；联动提醒；场景自动化；低功耗,家庭安防；老人看护；厨房安全,新房装修；厨房用户,App 推送；Max；低功耗；厨房安全；厨房用户；场景自动化；家庭安防；新房装修；智能传感器；老人看护；联动提醒,4.8,4202,33343,0.98,免安装或简单安装,七天无理由，整机一年质保，支持在线客服,小度；Apple HomeKit；Matter
